VIN (1-10),Model Year,Base MSRP,vehicle_id
7SAYGDEE3R,2024,0.0,119
7SAYGDEE3R,2024,0.0,160
7SAYGDEE3R,2024,0.0,321
KM8JFDD28R,2024,0.0,161
7SAYGDEE5R,2024,0.0,162
7SAYGDEE5R,2024,0.0,301
7SAYGDEE4P,2023,0.0,47
7SAYGDEE4P,2023,0.0,80
1C4JJXP60P,2023,0.0,163
5YJ3E1EA6P,2023,0.0,102
5YJ3E1EA6P,2023,0.0,424
5YJ3E1EA6P,2023,0.0,665
WA1E2AFY8R,2024,0.0,164
7SAXCBE56P,2023,0.0,165
7PDSGBBA2R,2024,0.0,166
1C4RJYB65P,2023,0.0,167
7SAYGDEE3R,2024,0.0,119
7SAYGDEE3R,2024,0.0,160
7SAYGDEE3R,2024,0.0,321
7PDSGABA7R,2024,0.0,168
1C4JJXN67P,2023,0.0,169
1C4JJXN67P,2023,0.0,225
7SAYGDEEXP,2023,0.0,101
7SAYGDEEXP,2023,0.0,107
7SAYGDEEXP,2023,0.0,439
YV4H60DM6R,2024,0.0,170
KNDCR3LF6P,2023,0.0,171
1C4RJXU64R,2024,0.0,172
1FTVW1EL3P,2023,0.0,173
1FTVW1EL3P,2023,0.0,337
5YJ3E1EA9P,2023,0.0,174
5YJ3E1EA9P,2023,0.0,364
7SAYGDEE2P,2023,0.0,77
7SAYGDEE2P,2023,0.0,183
7SAYGDEE2P,2023,0.0,663
7SAYGDEF6P,2023,0.0,143
7SAYGDEF6P,2023,0.0,201
4JGGM1CB0P,2023,0.0,175
7SAYGDEF0P,2023,0.0,176
KNDPYDAH9P,2023,0.0,177
KM8K23AG0P,2023,0.0,178
7SAYGDEF0R,2024,0.0,179
KNDPYDAH6P,2023,0.0,180
7SAYGAEE1P,2023,0.0,35
7SAYGAEE1P,2023,0.0,181
7SAYGDEE6P,2023,0.0,142
7SAYGDEE6P,2023,0.0,182
7SAYGDEE6P,2023,0.0,367
7SAYGDEE2P,2023,0.0,77
7SAYGDEE2P,2023,0.0,183
7SAYGDEE2P,2023,0.0,663
5UXTA6C02P,2023,0.0,184
7SAYGDEEXP,2023,0.0,101
7SAYGDEEXP,2023,0.0,107
7SAYGDEEXP,2023,0.0,439
